Felicidad,Tristeza,Miedo,Asco,Enfado,timeBeginMark,timeEndMark,intensity,FramesWithoutVoices,FramesWithVoices,AveragePitch,MaximumPitch,MinimumPitch,StandardDesviationPitch,Nombre
1.675404852227075,0.2616645612870343,0.49912644756841473,0.11958120414055884,0.005081523398985155,120.3,125.0,75.75506675304004,497,351,174.36764372287038,236.14522068447613,82.95528422917484,20.44018890377983,Maria_cadilla_nuevo.wav
1.7956995074637234,0.25398583215428516,0.30719574111572,0.24185424495954067,0.008093356402241625,125.4,130.0,77.64498222706523,497,372,195.81392842087908,350.83506066924116,108.61830045261839,34.16154436147954,Maria_cadilla_nuevo.wav
2.1907825004018378,0.26074823873932473,0.2782737811212428,0.27034771686885506,0.011894529074197635,130.4,135.0,76.84345179441969,497,402,205.86856793618006,519.9375770842031,88.35558362695676,62.61622940489121,Maria_cadilla_nuevo.wav
1.826353934011422,0.4379958596546203,0.9321155976504087,0.2524593497510068,0.0273373931995593,135.4,140.0,77.97961860126892,497,375,218.1895587116094,427.84923732231874,78.06485924071816,62.19631314618469,Maria_cadilla_nuevo.wav
1.9821594501845539,0.38992675533518195,0.4755901290336624,0.44050904258619994,0.04159460845403373,140.5,145.0,76.84496989882952,497,378,197.85442453919268,480.9898164513175,75.37641634583666,45.09998113266845,Maria_cadilla_nuevo.wav
2.745709912618622,0.2266810013097711,0.5050935969629791,0.6437795959063806,0.01918721612310037,145.5,150.0,77.57819384183824,497,391,203.85957638607866,333.500504905658,84.07686575068942,42.249713408315124,Maria_cadilla_nuevo.wav
1.4853316403459758,0.37909811071585864,0.38081421941751614,0.1729354722192511,0.00841185984609183,150.4,155.0,77.04349579341564,497,412,187.50587097658058,305.86744281647066,83.01256178673522,38.812524046750845,Maria_cadilla_nuevo.wav
2.4352724448253866,0.2692807776329573,0.3585325827880297,0.2349168591608759,0.007370808394625783,155.5,160.0,78.34099181819303,497,362,217.05842656788212,493.0778033249131,97.65669256147875,50.32580750039385,Maria_cadilla_nuevo.wav
1.2970256954431534,0.44230610597878695,0.4150021215900779,0.13069465989246964,0.04396221193019301,160.4,163.7,75.72667702764909,497,283,193.0095946306378,244.28217015861375,137.72862268834797,19.379653724574368,Maria_cadilla_nuevo.wav
0.620847703423351,0.4114499716088176,0.28467627544887364,0.08396341628395021,0.09207349736243486,167.3,168.2,53.957969018234124,497,41,140.7048683409538,488.9692816288292,101.48115530193971,96.93030969626045,Maria_cadilla_nuevo.wav
1.698301938828081,0.32310779159888625,0.2733279191888869,0.09006896242499352,0.15124192484654486,170.9,175.0,79.79180877814156,497,220,310.3855372449251,590.3918235768393,91.6870217005493,139.37980512975116,Maria_cadilla_nuevo.wav
0.5425642812624574,0.357118321582675,0.405607501976192,0.0809411855880171,0.24701627437025309,176.3,180.0,75.90103536015218,497,245,201.700728269556,569.5077051221443,88.3532568550657,99.66964628505737,Maria_cadilla_nuevo.wav
0.625753122381866,0.2657113904133439,0.2354724328033626,0.08524304698221385,0.07881436846219003,180.6,185.0,73.67813700141322,497,271,269.2883583956785,596.6425192924117,76.05177103177301,129.15089224354938,Maria_cadilla_nuevo.wav
0.5850227768532932,0.413305819965899,0.3248515911400318,0.11238142475485802,0.17740114964544773,189.0,190.0,68.47850587360443,497,203,368.80776803102106,533.1301358556385,75.43019059428539,89.31129919612687,Maria_cadilla_nuevo.wav
0.49321102630347013,0.6723444499075413,0.4799000062048435,0.09693748876452446,0.23365115094929934,191.2,195.0,62.344336463815644,497,185,226.67151658659733,592.2802831117774,85.08414792458412,66.08858624080592,Maria_cadilla_nuevo.wav
0.4996245810762048,0.6188772162422538,0.5141756180673838,0.08975547272711992,0.19943688716739416,196.0,200.0,68.81732170096271,6,6,76.40524969461644,77.50278024253718,75.64599412919624,0.6072785952747771,Maria_cadilla_nuevo.wav
