Felicidad,Tristeza,Miedo,Asco,Enfado,timeBeginMark,timeEndMark,Pitch,Amplitude,Longitud_Onda,Nombre
0.487327603623271,0.5196880232542753,0.3729580156505108,0.1096625104546547,0.20053044985979795,59.6,60.0,0.24997135744862567,0.0027696266518392777,0.007145833333333333,Maria_cadilla_nuevo.wav
0.5037881201133132,0.2740471726283431,0.1929711615666747,0.08261087210848927,0.11824548989534378,60.2,61.0,0.49994271489725134,0.001495213861507449,0.007145833333333333,Maria_cadilla_nuevo.wav
0.6724185021594167,0.31716845743358135,0.27309724129736423,0.11182130128145218,0.11612410563975573,59.8,61.2,0.24997135744862567,0.00041958174612102546,0.007145833333333333,Maria_cadilla_nuevo.wav
0,0,0,0,0,0,0,0.24997135744862567,0.0005962943451284592,0.007145833333333333,Maria_cadilla_nuevo.wav
0.6421141782775521,0.5395729020237923,0.34930107556283474,0.10310141649097204,0.1778233302757144,59.6,61.3,0.749914072345877,0.010831670985355264,0.007145833333333333,Maria_cadilla_nuevo.wav
0.8232786855660379,0.3049818156287074,0.13368725893087685,0.0782359791919589,0.05462641571648419,63.2,65.0,0.9998854297945027,0.01100025673710798,0.007145833333333333,Maria_cadilla_nuevo.wav
1.3965747109614313,0.32512091379612684,0.15563627140363678,0.10642753494903445,0.05126134923193604,63.4,66.0,0.24997135744862567,0.009025006438691576,0.007145833333333333,Maria_cadilla_nuevo.wav
1.0461877239868045,0.3229448292404413,0.20781341299880296,0.09880456421524286,0.03070998127805069,63.3,67.0,0.24997135744862567,0.004819501732324094,0.007145833333333333,Maria_cadilla_nuevo.wav
0.9790767348604277,0.4169709146954119,0.33934174332534894,0.12975589162670076,0.020835486007854342,63.3,68.0,0.24997135744862567,0.0041469641969136125,0.007145833333333333,Maria_cadilla_nuevo.wav
0.40537022100761533,0.3262648694217205,0.30814678431488574,0.07860066881403327,0.05830464535392821,66.7,67.8,0.24997135744862567,0.0008792360615582751,0.007145833333333333,Maria_cadilla_nuevo.wav
0,0,0,0,0,0,0,0.49994271489725134,0.0012877708961892204,0.007145833333333333,Maria_cadilla_nuevo.wav
0.4288834622129798,0.34289279486984015,0.35908009530976415,0.09739549877122045,0.06902088597416878,66.6,69.5,0.24997135744862567,0.005802273166748874,0.007145833333333333,Maria_cadilla_nuevo.wav
0.5956986425444484,0.25829364033415914,0.5545351933687925,0.06883783987723291,0.05233827489428222,67.5,72.0,0.749914072345877,0.0038142992204529573,0.007145833333333333,Maria_cadilla_nuevo.wav
0.4857570677995682,0.32507328409701586,0.25186959840357304,0.09733061958104372,0.14053304214030504,68.6,69.3,0.49994271489725134,0.0021135754879120835,0.007145833333333333,Maria_cadilla_nuevo.wav
0.5159421795979142,0.32173269148916006,0.3971940614283085,0.1219861174467951,0.0656239720992744,69.8,74.0,0.749914072345877,0.0030610335825165245,0.007145833333333333,Maria_cadilla_nuevo.wav
0.3012725096195936,0.37860744958743453,0.21604576148092747,0.04241304937750101,0.08660565968602896,71.0,75.0,0.24997135744862567,0.001852949781900572,0.007145833333333333,Maria_cadilla_nuevo.wav
0.5118421935476363,0.4986669425852597,0.20349139999598265,0.038413147907704115,0.08924709027633071,71.8,76.0,0.24997135744862567,0.007887257994701911,0.007145833333333333,Maria_cadilla_nuevo.wav
0.44168026838451624,0.21298598498106003,0.1622058623470366,0.06590154860168695,0.2736499710008502,74.8,77.0,0.49994271489725134,0.00957914810778676,0.007145833333333333,Maria_cadilla_nuevo.wav
0.9934495987836272,0.14830857189372182,0.1730044747237116,0.11429165536537766,0.09013085870537907,74.8,78.0,0.24997135744862567,0.006466042721767675,0.007145833333333333,Maria_cadilla_nuevo.wav
1.1358136895578355,0.1652709583286196,0.21234861412085593,0.11310240614693612,0.07235428132116795,74.8,79.0,0.24997135744862567,0.004212984381055586,0.007145833333333333,Maria_cadilla_nuevo.wav
1.1037436128826812,0.10327771562151611,0.14639301580609754,0.09712929255329072,0.03714426828082651,75.4,80.0,0.49994271489725134,0.010496448151505838,0.007145833333333333,Maria_cadilla_nuevo.wav
1.9932018678518943,0.2964462017407641,0.27201123945997097,0.12292527202225756,0.013140447728801519,76.6,81.0,0.749914072345877,0.005695914360521396,0.007145833333333333,Maria_cadilla_nuevo.wav
1.2714454585802741,0.3014593751868233,0.1625644247396849,0.08519188946229406,0.012684435758274049,78.4,82.0,0.49994271489725134,0.0015816562180756446,0.007145833333333333,Maria_cadilla_nuevo.wav
1.2933408304816112,0.28096911450847983,0.20892786741023883,0.09287213196512312,0.01402113726362586,78.8,82.0,0.24997135744862567,0.0033780885405224515,0.007145833333333333,Maria_cadilla_nuevo.wav
0.5667728283442557,0.26048930548131466,0.49040655978024006,0.10236167861148715,0.16379000060260296,83.2,84.0,0.749914072345877,0.008424680774272313,0.007145833333333333,Maria_cadilla_nuevo.wav
0.3567093175370246,0.22582361102104187,0.6790363290347159,0.0762535729445517,0.0792893641628325,81.3,85.0,0.24997135744862567,0.0068000837345941765,0.007145833333333333,Maria_cadilla_nuevo.wav
0.4953182772733271,0.376393030397594,0.6030711522325873,0.1271930132061243,0.24312139861285686,83.2,85.5,0.49994271489725134,0.0005550151613412793,0.007145833333333333,Maria_cadilla_nuevo.wav
0.4574413285590708,0.38031407445669174,0.5823969775810838,0.12526621110737324,0.2543309824541211,83.3,85.2,0.49994271489725134,0.013784850208144345,0.007145833333333333,Maria_cadilla_nuevo.wav
0.676713356282562,0.34973747842013836,0.5729146590456367,0.12900785263627768,0.22821511141955853,83.5,85.6,0.24997135744862567,0.018359657773074297,0.007145833333333333,Maria_cadilla_nuevo.wav
0.9067745259962976,0.19051645742729306,0.13743758911732584,0.07155333209084347,0.03731790417805314,86.0,89.0,0.49994271489725134,0.015599780032147612,0.007145833333333333,Maria_cadilla_nuevo.wav
0.6663824681891128,0.3463842358905822,0.24718068208312616,0.06439740397036076,0.019853780104313046,86.0,90.0,0.24997135744862567,0.006304493064488571,0.007145833333333333,Maria_cadilla_nuevo.wav
0.7288841413683258,0.3934351918287575,0.2982732887612656,0.12416856549680233,0.013452331768348813,86.1,91.0,0.24997135744862567,0.0024555257695935773,0.007145833333333333,Maria_cadilla_nuevo.wav
0.7117427280172706,0.31201155949383974,0.2039881837554276,0.15841627400368452,0.051657426403835416,88.2,90.7,0.749914072345877,0.00982974470513643,0.007145833333333333,Maria_cadilla_nuevo.wav
0.6946457284502685,0.42768766917288303,0.4498577294871211,0.18579830694943666,0.06461850181221962,88.4,93.0,0.9998854297945027,0.004486586755262438,0.007145833333333333,Maria_cadilla_nuevo.wav
0.754280355758965,0.3815148826688528,0.7474194969981909,0.3238108907826245,0.127295998390764,89.5,94.0,0.24997135744862567,0.01634390102000108,0.007145833333333333,Maria_cadilla_nuevo.wav
0.5318400624673814,0.22927232459187508,0.4821683345362544,0.12061505857855082,0.10994646558538079,91.0,95.0,1.499828144691754,0.014874837412077352,0.007145833333333333,Maria_cadilla_nuevo.wav
